Serial Number,Kind,Type,Name of Variety/ Hybrid,Recommended State Union territories for sale
1,Rice,Open Pollinated Variety,Swarna Shusk Dhan (RCPR 56-IR93827-29-1-1-4) (IET 27962),Uttar Pradesh
2,Rice,Open Pollinated Variety,Swarna Purvi Dhan 1 (RCPR 19-IR 84899-B- 179-13-1-1-1) (IET 24660),Jharkhand
3,Rice,Open Pollinated Variety,Swarna Purvi Dhan 2 (RCPR 46-IR93827-29-1-1- 2) (IET 26767),Jharkhand
4,Rice,Open Pollinated Variety,MCM Rice 103 (IET 23407),Andhra Pradesh
5,Rice,Open Pollinated Variety,MTU Rice 1232 (IET 26422),Andhra Pradesh
6,Rice,Open Pollinated Variety,MTU Rice 1318 (IET 28527),Andhra Pradesh
7,Rice,Open Pollinated Variety,Jagtiala Vari-2 (JGL 28545 (IET 27448),Telangana
8,Rice,Open Pollinated Variety,Jagtiala Vari-3 (JGL 27356 (IET 30064),Telangana
9,Rice,Open Pollinated Variety,Rajendranagar Vari-3 (RNR 15459 (IET 28567),Telangana
10,Rice,Open Pollinated Variety,Rajendranagar Vari-4 (RNR 21278 (IET 27107),Telangana
11,Rice,Open Pollinated,Rajendranagar Vari-5 (RNR 29325 (IET 29789),Telangana
12,Rice,Open Pollinated Variety,Luchai Selection 1 (Luchai (IET 27015),Madhya Pradesh
13,Rice,Open Pollinated Variety,Kali Kamod Selection 1 (Kali Kamod (IET 27029),Madhya Pradesh
14,Rice,Open Pollinated Variety,Shalimar Rice-6 (SKUA- 485),Jammu and Kashmir
15,Rice,Open Pollinated Variety,PR 130 (RYT 3797),Punjab
16,Rice,Open Pollinated Variety,PDKV SADHANA (SKL- 3-1-41-8-33-15),Maharashtra
17,Rice,Open Pollinated Variety,Mandya Jyothi (KMP-220),Karnataka
18,Rice,Open Pollinated Variety,Samruddhi (Mandya Source Nursery 99) (MSN 99),Karnataka
19,Rice,Open Pollinated Variety,Pant Sugandh Dhan 27,Uttarakhand
20,Rice,Open Pollinated Variety,Swarna Sukha Dhan,Jharkhand
21,Rice,Hybrid,PAC 837 Plus,Assam
22,Rice,Hybrid,NPH-242,Assam
23,Rice,Hybrid,"VNR-2228 (IET 24951, VNR 218)",Assam
24,Rice,Hybrid,PAC 8744 Plus,Assam
25,Rice,Hybrid,PAC 8744,Assam
26,Rice,Hybrid,Indam 200-017 (IET 20419) (Hybrid),Assam
27,Rice,Hybrid,BIO 799 (IET 22919) (BIO-453,Assam
28,Rice,Hybrid,PAN 2423 (IET- 21395) (Hybrid),Assam
29,Rice,Hybrid,PAN 802 (IET- 23498),Assam
30,Bread Wheat,Open Pollinated Variety,PBW 872,"Punjab, Haryana, Delhi, Rajasthan (excluding Kota and Udaipur division), Western Uttar Pradesh (except Jhansi division), Jammu and Kathua district of Jammu & Kashmir, Paonta Valley and Una district of Himachal Pradesh and Tarai region of Uttarakhand"
31,Bread Wheat,Open Pollinated Variety,PBW 833,"North Eastern Plains Zone Comprising Eastern Uttar Pradesh, Bihar, Jharkhand, Orissa, West Bengal, Assam and Plains of NE States"
32,Bread Wheat,Open Pollinated Variety,PBW 826,"NWPZ- Punjab, Haryana, Delhi, Rajasthan (excluding Kota and Udaipur division), Western Uttar Pradesh (except Jhansi division), Jammu and Kathua district of Jammu and Kashmir, Paonta Valley and Una district of Himachal Pradesh and Tarai region of Uttarakhand. NWPZ- Eastern Uttar Pradesh, Jharkhand, Orissa, West Bengal, Assam and plains of NE States"
33,Bread Wheat,Open Pollinated Variety,Pusa Ojaswi (HI 1650),"Madhya Pradesh, Chhattisgarh, Gujarat, Kota and Udaipur Divisions of Rajasthan and Jhansi Division of Uttar Pradesh"
34,Bread Wheat,Open Pollinated Variety,Pusa Jagrati (HI 1653),"Punjab, Haryana, Delhi, Rajasthan (Except Kota and Udaipur Division), Western Uttar Pradesh (Except Jhansi Division), Jammu and Kathua district of Jammu and Kashmir, Una district and Paonta Valley of Himachal Pradesh and Tarai region of Uttarakhand"
